Date,Open,High,Low,Close,Close_adj,Volume
2018-01-02,312.0,322.1099853515625,311.0,320.5299987792969,320.5299987792969,4352200
2018-01-03,321.0,325.25,315.54998779296875,317.25,317.25,4521500
2018-01-04,312.8699951171875,318.54998779296875,305.67999267578125,314.6199951171875,314.6199951171875,9946300
2018-01-05,316.6199951171875,317.239990234375,312.0,316.5799865722656,316.5799865722656,4591200
2018-01-08,316.0,337.0199890136719,315.5,336.4100036621094,336.4100036621094,9859400
2018-01-09,335.1600036621094,338.79998779296875,327.3999938964844,333.69000244140625,333.69000244140625,7146600
2018-01-10,332.20001220703125,337.0,330.0,334.79998779296875,334.79998779296875,4309900
2018-01-11,335.239990234375,344.8099975585937,333.260009765625,337.95001220703125,337.95001220703125,6645500
2018-01-12,338.6300048828125,340.4100036621094,333.6700134277344,336.2200012207031,336.2200012207031,4825100
2018-01-16,337.5400085449219,345.0,334.79998779296875,340.0599975585937,340.0599975585937,6474300
2018-01-17,340.4700012207031,349.0,339.75,347.1600036621094,347.1600036621094,7103500
2018-01-18,345.6700134277344,352.29998779296875,343.739990234375,344.57000732421875,344.57000732421875,5685800
2018-01-19,345.0,350.5899963378906,342.6000061035156,350.0199890136719,350.0199890136719,4888300
2018-01-22,349.3999938964844,357.8299865722656,349.20001220703125,351.5599975585937,351.5599975585937,6210400
2018-01-23,360.0,360.5,351.0,352.7900085449219,352.7900085449219,5465400
2018-01-24,354.5799865722656,354.75,343.5199890136719,345.8900146484375,345.8900146484375,5287500
2018-01-25,348.2699890136719,349.20001220703125,336.3999938964844,337.6400146484375,337.6400146484375,6740300
2018-01-26,341.5,344.0,335.7099914550781,342.8500061035156,342.8500061035156,4539400
2018-01-29,339.8500061035156,350.8500061035156,338.2799987792969,349.5299987792969,349.5299987792969,4747100
2018-01-30,345.1400146484375,348.2699890136719,342.1700134277344,345.82000732421875,345.82000732421875,4717700
2018-01-31,347.510009765625,356.19000244140625,345.19000244140625,354.3099975585937,354.3099975585937,6214100
2018-02-01,351.0,359.6600036621094,348.6300048828125,349.25,349.25,4197700
2018-02-02,348.44000244140625,351.95001220703125,340.510009765625,343.75,343.75,3704800
